Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Ams.Api\Ams.Api.csproj,File,src\Ams.Api\Ams.Api.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Api\Ams.Api.csproj,File,src\Ams.Api\Security\DevelopmentAuthenticationHandler.cs,58,53,T:System.Uri,,,,,Uri.UnescapeDataString(value)
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Ams.Application\Ams.Application.csproj,File,src\Ams.Application\Ams.Application.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Ams.Application\Ams.Application.csproj,File,src\Ams.Application\obj\Debug\net9.0\System.Text.RegularExpressions.Generator\System.Text.RegularExpressions.Generator.RegexGenerator\RegexGenerator.g.cs,358,12,"M:System.TimeSpan.FromMilliseconds(System.Int64,System.Int64)",,,,,base.internalMatchTimeout = TimeSpan.FromMilliseconds(250);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Ams.Application\Ams.Application.csproj,File,src\Ams.Application\obj\Debug\net9.0\System.Text.RegularExpressions.Generator\System.Text.RegularExpressions.Generator.RegexGenerator\RegexGenerator.g.cs,358,12,"M:System.TimeSpan.FromMilliseconds(System.Int64,System.Int64)",,,,,base.internalMatchTimeout = TimeSpan.FromMilliseconds(250);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Ams.Application\Ams.Application.csproj,File,src\Ams.Application\obj\Debug\net9.0\System.Text.RegularExpressions.Generator\System.Text.RegularExpressions.Generator.RegexGenerator\RegexGenerator.g.cs,100,12,"M:System.TimeSpan.FromMilliseconds(System.Int64,System.Int64)",,,,,base.internalMatchTimeout = TimeSpan.FromMilliseconds(250);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Ams.Application\Ams.Application.csproj,File,src\Ams.Application\obj\Debug\net9.0\System.Text.RegularExpressions.Generator\System.Text.RegularExpressions.Generator.RegexGenerator\RegexGenerator.g.cs,100,12,"M:System.TimeSpan.FromMilliseconds(System.Int64,System.Int64)",,,,,base.internalMatchTimeout = TimeSpan.FromMilliseconds(250);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Ams.Application\Ams.Application.csproj,File,src\Ams.Application\AuthService.cs,219,8,T:System.Security.Cryptography.Rfc2898DeriveBytes,,,,,"Rfc2898DeriveBytes.Pbkdf2(password, salt, PasswordIterations, HashAlgorithmName.SHA256, PasswordHashBytes)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Ams.Application\Ams.Application.csproj,File,src\Ams.Application\AuthService.cs,219,8,"M:System.Security.Cryptography.Rfc2898DeriveBytes.Pbkdf2(System.String,System.Byte[],System.Int32,System.Security.Cryptography.HashAlgorithmName,System.Int32)",,,,,"Rfc2898DeriveBytes.Pbkdf2(password, salt, PasswordIterations, HashAlgorithmName.SHA256, PasswordHashBytes)"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Ams.Domain\Ams.Domain.csproj,File,src\Ams.Domain\Ams.Domain.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
